# index, name, nodeLabel, _pos
198,ZDHHC17,ZDHHC17,"array([3.74738863, 7.30983712])"
199,C15orf63,C15orf63,"array([3.53128695, 7.28803206])"
200,MEF2D,MEF2D,"array([3.64006578, 7.13712503])"
201,YWHAQ,YWHAQ,"array([3.6292819 , 7.18181889])"
202,TCF3,TCF3,"array([3.70946002, 7.15335338])"
203,ID3,ID3,"array([3.68718408, 7.0980932 ])"
204,IRS1,IRS1,"array([3.61094602, 7.1680094 ])"
205,YWHAE,YWHAE,"array([3.63249226, 7.18788356])"
206,SOCS1,SOCS1,"array([3.61648072, 7.15567754])"
207,PTK2,PTK2,"array([3.59966386, 7.19461343])"
208,MAPK8,MAPK8,"array([3.6328311 , 7.18120344])"
209,IL1A,IL1A,"array([3.81283142, 7.05434677])"
210,NDN,NDN,"array([3.64913644, 7.18129497])"
211,JAK2,JAK2,"array([3.61500485, 7.14829127])"
212,PRMT5,PRMT5,"array([3.68646242, 7.171542  ])"
213,BYSL,BYSL,"array([3.61476923, 7.238968  ])"
214,KRT8,KRT8,"array([3.6314765 , 7.21482721])"
215,KRT18,KRT18,"array([3.63635091, 7.19730687])"
216,CBL,CBL,"array([3.58019169, 7.17658759])"
217,DNAJB6,DNAJB6,"array([3.70327815, 7.22368944])"
218,LMNA,LMNA,"array([3.67328811, 7.21335212])"
219,LMNB1,LMNB1,"array([3.65172431, 7.19170316])"
220,SREBF1,SREBF1,"array([3.70435377, 7.14382683])"
221,NARF,NARF,"array([3.73077227, 7.30861538])"
222,MLLT4,MLLT4,"array([3.57053386, 7.14467685])"
223,BCR,BCR,"array([3.58825758, 7.1595557 ])"
224,BNIPL,BNIPL,"array([3.5952309 , 7.21992221])"
225,BCL2,BCL2,"array([3.58807184, 7.20850861])"
226,BNIP2,BNIP2,"array([3.55143709, 7.15640822])"
227,SMN1,SMN1,"array([3.66218873, 7.20940901])"
228,TP53BP2,TP53BP2,"array([3.62849575, 7.16329472])"
229,RTN4,RTN4,"array([3.62301749, 7.22058648])"
230,BECN1,BECN1,"array([3.66189842, 7.21492288])"
231,NFKB1,NFKB1,"array([3.6553469 , 7.17727217])"
232,LYL1,LYL1,"array([3.68622028, 7.06858731])"
233,SKAP1,SKAP1,"array([3.55673732, 7.11301016])"
234,PTPRC,PTPRC,"array([3.54280011, 7.18966345])"
235,ALOX5,ALOX5,"array([3.46791224, 7.17076756])"
236,COTL1,COTL1,"array([3.54410276, 7.16963366])"
237,VAV1,VAV1,"array([3.60319016, 7.1750604 ])"
238,XRCC6,XRCC6,"array([3.65595048, 7.18598034])"
239,NCF4,NCF4,"array([3.53751121, 7.13347113])"
240,XRCC5,XRCC5,"array([3.67320481, 7.19099044])"
241,MRE11A,MRE11A,"array([3.70915238, 7.18968375])"
242,CBX5,CBX5,"array([3.74144826, 7.17711515])"
243,PIAS4,PIAS4,"array([3.64673098, 7.17855829])"
244,LEF1,LEF1,"array([3.69088371, 7.08715555])"
245,MITF,MITF,"array([3.65976526, 7.14848304])"
246,DHDDS,DHDDS,"array([3.7406148 , 7.25090596])"
247,LOX,LOX,"array([3.5562704, 7.2032929])"
248,YBX1,YBX1,"array([3.63827318, 7.20979611])"
249,SRSF9,SRSF9,"array([3.65568105, 7.23823427])"
250,ATRNL1,ATRNL1,"array([3.61866393, 7.62847679])"
251,MC4R,MC4R,"array([3.63123525, 7.45637124])"
252,ATF7IP,ATF7IP,"array([3.7212117 , 7.16571964])"
253,MBD1,MBD1,"array([3.70849574, 7.16437579])"
254,CHAF1A,CHAF1A,"array([3.70863336, 7.17637807])"
255,PIAS3,PIAS3,"array([3.64055787, 7.12131429])"
256,PATZ1,PATZ1,"array([3.73988796, 7.1293889 ])"
257,ANP32A,ANP32A,"array([3.69923743, 7.13833836])"
258,MAP1B,MAP1B,"array([3.59523028, 7.17005023])"
259,MCM7,MCM7,"array([3.69115865, 7.19798037])"
260,ORC3,ORC3,"array([3.74106782, 7.21373513])"
261,FHL2,FHL2,"array([3.64818801, 7.16925021])"
262,NOV,NOV,"array([3.6255861 , 7.26897625])"
263,POLR2L,POLR2L,"array([3.74939223, 7.18842054])"
